latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
48.4572,38.7695,325,1,1,2023-01-02,1855,Terra,MODIS,100,61.03,273.9,28.6,N,2
45.1292,35.0842,350.3,1,1,2023-01-03,0828,Terra,MODIS,96,61.03,288.6,66.2,D,0
45.1272,35.0968,328.8,1,1,2023-01-03,0828,Terra,MODIS,86,61.03,286.7,29.8,D,0
49.068,23.9454,301.5,1.1,1.1,2023-01-17,1143,Aqua,MODIS,47,61.03,278.9,9.7,D,0
46.5276,32.6339,300.9,1.8,1.3,2023-01-19,1128,Aqua,MODIS,43,61.03,284.7,12.9,D,0
46.6405,32.7798,349.8,1.9,1.3,2023-01-19,1129,Aqua,MODIS,83,61.03,285.2,151.4,D,0
46.8247,32.1147,317.9,1.7,1.3,2023-01-19,1129,Aqua,MODIS,78,61.03,285.7,38.2,D,0
46.8228,32.0922,303.5,1.7,1.3,2023-01-19,1129,Aqua,MODIS,56,61.03,285.1,15,D,0
47.268,33.5784,305.5,2.1,1.4,2023-01-19,1129,Aqua,MODIS,62,61.03,283.5,24.2,D,0
47.2647,33.5587,303,2.1,1.4,2023-01-19,1129,Aqua,MODIS,54,61.03,284.2,19.5,D,0
46.6304,32.8059,343.1,1.9,1.3,2023-01-19,1129,Aqua,MODIS,93,61.03,286.8,120.4,D,0
46.6285,32.7817,370.1,1.9,1.3,2023-01-19,1129,Aqua,MODIS,100,61.03,288.9,287.7,D,2
46.6267,32.7575,304.3,1.9,1.3,2023-01-19,1129,Aqua,MODIS,24,61.03,284.5,13.7,D,2
46.6424,32.804,345.6,1.9,1.3,2023-01-19,1129,Aqua,MODIS,82,61.03,285.3,131.2,D,0
45.3312,28.6061,311.9,2.3,1.5,2023-01-19,1906,Terra,MODIS,84,61.03,282,48.1,N,0
45.0728,34.9491,302,1.2,1.1,2023-01-20,0840,Terra,MODIS,50,61.03,284.8,8,D,0
48.4648,38.7789,310,1,1,2023-01-24,0807,Terra,MODIS,66,61.03,270.3,14.3,D,2
48.4559,38.7763,308.7,1,1,2023-01-24,0807,Terra,MODIS,67,61.03,269.4,13.4,D,2
44.8712,34.2829,314.4,1,1,2023-01-25,1048,Aqua,MODIS,75,61.03,283.3,15.7,D,0
48.456,38.7811,306.6,1.4,1.2,2023-01-26,0751,Terra,MODIS,64,61.03,271.3,18.6,D,2
46.3141,31.9735,301.2,1.8,1.3,2023-01-26,1131,Aqua,MODIS,46,61.03,277.5,18.3,D,0
46.8283,32.0681,304,1.8,1.3,2023-01-26,1131,Aqua,MODIS,58,61.03,277.8,22.2,D,0
48.4597,38.778,303,1.3,1.1,2023-01-27,0832,Terra,MODIS,54,61.03,271.2,15.1,D,2
48.4573,38.7644,304.4,1.1,1.1,2023-02-03,0825,Terra,MODIS,59,61.03,271.8,11.4,D,2
48.4547,38.7791,306.6,1.1,1.1,2023-02-03,0825,Terra,MODIS,64,61.03,271.9,13,D,2
47.2696,35.7242,303.4,1,1,2023-02-03,1038,Aqua,MODIS,30,61.03,274.3,9.1,D,2
47.8696,33.4487,340.2,1,1,2023-02-08,0835,Terra,MODIS,87,61.03,270.5,49.8,D,2
46.9658,31.9,321.7,1,1,2023-02-08,1054,Aqua,MODIS,58,61.03,276.4,24.4,D,0
46.8784,36.9863,300.1,1.1,1.1,2023-02-08,1054,Aqua,MODIS,25,61.03,275.7,8.9,D,0
47.2254,37.5236,307.4,1.2,1.1,2023-02-08,1054,Aqua,MODIS,57,61.03,276.7,15.1,D,0
46.9637,31.8867,314.4,1,1,2023-02-08,1054,Aqua,MODIS,66,61.03,276.2,17.4,D,0
47.0468,32.1104,301.2,1,1,2023-02-08,1054,Aqua,MODIS,45,61.03,276.9,8.1,D,0
47.0447,32.0971,307.4,1,1,2023-02-08,1054,Aqua,MODIS,65,61.03,276.7,11.8,D,0
47.0814,32.2099,307.8,1,1,2023-02-08,1054,Aqua,MODIS,66,61.03,277,11.9,D,0
47.0773,31.8413,304,1,1,2023-02-08,1054,Aqua,MODIS,0,61.03,277,10,D,0
47.1181,31.8061,310,1,1,2023-02-08,1054,Aqua,MODIS,57,61.03,277.5,13.6,D,0
47.1428,31.7833,327.5,1,1,2023-02-08,1054,Aqua,MODIS,80,61.03,278.2,31.2,D,0
47.5654,31.4018,308.6,1.1,1,2023-02-08,1054,Aqua,MODIS,64,61.03,277.8,12,D,0
47.6192,31.3321,308.9,1.1,1,2023-02-08,1054,Aqua,MODIS,64,61.03,278,13.2,D,0
47.9027,31.2976,305.5,1,1,2023-02-08,1054,Aqua,MODIS,62,61.03,275.9,11.1,D,0
47.9004,31.284,316.8,1.1,1,2023-02-08,1054,Aqua,MODIS,77,61.03,276.8,20.1,D,0
46.8146,32.1619,304.1,2.1,1.4,2023-02-09,1136,Aqua,MODIS,58,61.03,278.7,27.1,D,0
46.8148,32.1541,304.3,2.1,1.4,2023-02-09,1136,Aqua,MODIS,59,61.03,278.7,27.7,D,0
47.7821,32.1857,301.7,1.3,1.1,2023-02-10,1041,Aqua,MODIS,48,61.03,277.9,10,D,0
48.6069,34.5751,326.9,1,1,2023-02-10,1041,Aqua,MODIS,0,61.03,273.6,31.9,D,0
47.8671,33.4443,305.6,1,1,2023-02-10,1927,Terra,MODIS,34,61.03,267.6,13.7,N,2
47.3621,31.6204,309.2,1.4,1.2,2023-02-11,1123,Aqua,MODIS,42,61.03,276.4,16.4,D,0
47.0696,32.9841,305.1,1.6,1.2,2023-02-11,1123,Aqua,MODIS,61,61.03,280.2,17.3,D,0
46.6084,35.0935,309.4,2,1.4,2023-02-11,1123,Aqua,MODIS,68,61.03,280.7,30.3,D,0
46.6112,35.0854,313.2,2,1.4,2023-02-11,1123,Aqua,MODIS,73,61.03,280.8,40.3,D,0
47.0685,32.9687,332.5,1.6,1.2,2023-02-11,1123,Aqua,MODIS,88,61.03,282.1,65,D,0
47.0678,32.9633,324.5,1.6,1.2,2023-02-11,1123,Aqua,MODIS,83,61.03,281.9,48.8,D,0
47.5851,30.0944,305.5,2.3,1.5,2023-02-12,1028,Aqua,MODIS,46,61.03,274.4,29.9,D,0
47.5817,30.092,303.3,2.3,1.5,2023-02-12,1028,Aqua,MODIS,50,61.03,275.4,27.4,D,0
46.902,32.492,303.8,1.1,1,2023-02-13,0844,Terra,MODIS,57,61.03,278.7,9.5,D,0
47.1779,30.1899,301.8,1,1,2023-02-13,0844,Terra,MODIS,49,61.03,280.7,6.9,D,0
46.3579,32.9395,304.9,1.1,1.1,2023-02-13,0844,Terra,MODIS,57,61.03,277.4,10.4,D,0
45.4762,29.4048,323.4,1,1,2023-02-13,1109,Aqua,MODIS,76,61.03,282,25,D,0
48.0955,30.7983,307.8,1,1,2023-02-15,1056,Aqua,MODIS,66,61.03,277.2,11.2,D,0
48.0933,30.7847,305.5,1,1,2023-02-15,1056,Aqua,MODIS,49,61.03,280.4,9.6,D,0
50.5963,29.8526,305.3,1,1,2023-02-15,1057,Aqua,MODIS,61,61.03,276.9,10.6,D,0
48.7165,30.7056,301.6,1,1,2023-02-15,1057,Aqua,MODIS,39,61.03,274.7,7.9,D,0
50.678,30.5397,308.4,1,1,2023-02-15,1057,Aqua,MODIS,58,61.03,276.9,12.9,D,0
50.594,29.8384,305.1,1,1,2023-02-15,1057,Aqua,MODIS,61,61.03,276.5,10.6,D,0
47.8745,33.4477,313.7,1.2,1.1,2023-02-15,1936,Terra,MODIS,88,61.03,268.9,23.9,N,2
47.8331,33.2091,310.1,2,1.4,2023-02-16,0909,Terra,MODIS,69,61.03,277.3,36.3,D,0
48.7128,27.2534,303.1,1.1,1,2023-02-16,0909,Terra,MODIS,55,61.03,277.2,10.4,D,0
47.83,33.2125,314.3,3.4,1.7,2023-02-16,1001,Aqua,MODIS,75,61.03,276.3,95.5,D,0
47.818,33.1697,301.1,3.5,1.8,2023-02-16,1001,Aqua,MODIS,44,61.03,279.1,42.4,D,0
46.9908,32.7584,310.3,1.2,1.1,2023-02-17,1043,Aqua,MODIS,63,61.03,279.7,14.5,D,0
47.6292,34.331,301.6,1.1,1,2023-02-20,0837,Terra,MODIS,48,61.03,278,8.5,D,2
45.5462,29.4272,300.5,1.1,1,2023-02-20,0837,Terra,MODIS,38,61.03,284.2,5.1,D,0
