latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
15.5883,46.0386,326.6,1,1,2024-01-01,0705,Terra,MODIS,72,61.03,308.5,10.6,D,0
15.9061,50.792,322.3,1.4,1.2,2024-01-18,1013,Aqua,MODIS,57,61.03,307,14.3,D,0
13.9081,44.1843,322,1.1,1,2024-01-26,1048,Aqua,MODIS,54,61.03,305.6,11.2,D,0
15.562,45.7919,322.8,1.8,1.3,2024-01-28,0721,Terra,MODIS,72,61.03,304.2,13.5,D,0
15.5594,45.8078,323.8,1.8,1.3,2024-01-28,0721,Terra,MODIS,74,61.03,304.5,15.9,D,0
15.5727,45.8063,306.5,1.2,1.1,2024-01-29,1852,Terra,MODIS,68,61.03,292.7,9.6,N,0
15.5641,45.7929,324.8,1.2,1.1,2024-02-04,0710,Terra,MODIS,72,61.03,304.2,12.5,D,2
15.5624,45.8036,331.1,1.2,1.1,2024-02-04,0710,Terra,MODIS,80,61.03,304.6,22.4,D,0
15.6115,46.007,302.4,1,1,2024-02-17,1837,Terra,MODIS,49,61.03,291.6,5.8,N,0
15.5753,45.8087,309.7,1,1,2024-02-19,2309,Aqua,MODIS,78,61.03,290.3,11.1,N,0
17.4309,43.4782,316.7,1,1,2024-02-21,0712,Terra,MODIS,37,61.03,299.5,7.9,D,0
13.4283,43.6584,326.2,1.2,1.1,2024-02-26,1050,Aqua,MODIS,36,61.03,307.9,8,D,0
12.6529,43.3979,312.4,3,1.6,2024-03-10,1134,Aqua,MODIS,54,61.03,295.9,38.3,D,3
12.2089,52.1091,313.5,1.2,1.1,2024-04-13,0620,Terra,MODIS,58,61.03,302.9,9.1,D,3
12.2074,52.1193,314.2,1.2,1.1,2024-04-13,0620,Terra,MODIS,49,61.03,303.3,9.3,D,3
12.6474,43.4296,310.2,3.7,1.8,2024-04-15,0740,Terra,MODIS,26,61.03,294,37.7,D,3
12.6536,43.4244,313.6,3.7,1.8,2024-04-15,0740,Terra,MODIS,59,61.03,294.8,56.1,D,3
14.6723,43.1589,330.6,1,1,2024-04-19,0705,Terra,MODIS,56,61.03,305.9,14.5,D,0
14.3039,43.1529,333,1,1,2024-04-19,0706,Terra,MODIS,49,61.03,305.2,15.2,D,0
14.5563,43.1199,330.6,1,1,2024-04-19,0706,Terra,MODIS,36,61.03,305.2,15.7,D,0
14.3585,43.9644,319.6,1,1,2024-04-19,0706,Terra,MODIS,31,61.03,300.6,10.4,D,0
14.7702,43.0814,320.6,1.9,1.4,2024-04-22,0728,Terra,MODIS,30,61.03,298.5,25.9,D,0
14.4477,43.2762,326.9,2,1.4,2024-04-22,0729,Terra,MODIS,46,61.03,300.3,28.5,D,0
13.0576,45.3594,320.5,3.8,1.8,2024-04-25,1020,Aqua,MODIS,44,61.03,302.6,83.6,D,3
13.0515,45.3255,322.5,3.8,1.8,2024-04-25,1020,Aqua,MODIS,48,61.03,303.5,92.8,D,3
12.6492,43.4218,310.1,3.9,1.8,2024-05-02,0740,Terra,MODIS,30,61.03,296.3,35.6,D,3
12.6573,43.4179,312.9,3.9,1.8,2024-05-02,0740,Terra,MODIS,56,61.03,297,50,D,3
14.2705,43.2568,321.8,1.6,1.2,2024-05-04,0723,Terra,MODIS,12,61.03,296.7,16.6,D,0
13.055,44.8418,319.4,2.2,1.5,2024-05-04,0723,Terra,MODIS,25,61.03,294,31.2,D,0
15.1557,50.9957,317.5,1.1,1.1,2024-05-05,0625,Terra,MODIS,10,61.03,297.7,10.5,D,0
12.6566,43.406,317.3,2.7,1.6,2024-05-05,1036,Aqua,MODIS,55,61.03,300.3,39.6,D,3
14.0818,43.3326,325.4,2.1,1.4,2024-05-09,0728,Terra,MODIS,40,61.03,295.4,35.1,D,0
14.8716,43.0688,330.3,1.1,1,2024-05-18,0659,Terra,MODIS,35,61.03,305,13.9,D,0
16.5641,43.056,335.7,1,1,2024-05-20,1101,Aqua,MODIS,73,61.03,311.3,10.3,D,0
15.5636,45.7923,306.3,1.5,1.2,2024-05-22,1853,Terra,MODIS,68,61.03,296.1,11.2,N,2
15.5697,45.7989,310.9,1.5,1.2,2024-05-22,1853,Terra,MODIS,81,61.03,296.5,17.3,N,2
12.7468,44.9043,322.8,1.1,1,2024-05-25,1107,Aqua,MODIS,17,61.03,312.1,13.1,D,3
12.6787,44.4234,323.1,1,1,2024-05-25,1107,Aqua,MODIS,74,61.03,312.3,13.6,D,3
12.6774,44.4142,325.5,1,1,2024-05-25,1107,Aqua,MODIS,79,61.03,314,16.3,D,3
15.8493,46.1701,308.3,1.5,1.2,2024-05-26,1818,Terra,MODIS,71,61.03,297.6,10.9,N,0
15.578,45.7902,336.2,1.8,1.3,2024-06-02,0715,Terra,MODIS,78,61.03,319.4,23.5,D,0
15.5751,45.8068,344.4,1.8,1.3,2024-06-02,0715,Terra,MODIS,88,61.03,319.1,57.7,D,0
15.5796,45.8009,341.1,1.8,1.3,2024-06-02,0715,Terra,MODIS,85,61.03,319.7,41.7,D,0
12.7506,44.7329,317.5,1.4,1.2,2024-06-06,0641,Terra,MODIS,27,61.03,304.3,12.8,D,3
16.8763,43.1585,332.7,2,1.4,2024-06-09,1131,Aqua,MODIS,64,61.03,308.8,34.1,D,0
15.4382,42.6186,313,4.2,1.9,2024-07-23,1153,Aqua,MODIS,45,61.03,298.6,48.1,D,3
15.4592,45.3277,318,1.1,1,2024-08-21,0656,Terra,MODIS,52,61.03,300,5.9,D,0
12.6572,43.4015,310.1,3.4,1.7,2024-08-25,0621,Terra,MODIS,25,61.03,293,35,D,3
12.6539,43.4324,311.3,3.4,1.7,2024-08-25,0621,Terra,MODIS,37,61.03,293.1,39.5,D,3
15.5771,45.7983,301.4,1,1,2024-08-27,1831,Terra,MODIS,14,61.03,289.1,2.4,N,2
